filename,label
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0043.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0044.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0045.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0047.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0048.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0049.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0051.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0052.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0053.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0055.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0056.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0057.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0060.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_0003.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_0004_N.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_0006.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_0007_N.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0011.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0012.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0015.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0016.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0017.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0019.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0020.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0021.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0024.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0025.mat,healthy
AMITIE_Tepex_104-RG600_750GHz_Rückseite_0027_N.mat,healthy
