split_idx,best_val_acc,fold_dir
1,0.65,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_001
2,0.6,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_002
3,0.7894736842105263,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_003
4,0.7894736842105263,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_004
5,0.7368421052631579,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_005
6,0.75,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_006
7,0.75,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_007
8,0.7894736842105263,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_008
9,0.7894736842105263,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_009
10,0.7894736842105263,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_010
11,0.85,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_011
12,0.95,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_012
13,0.7368421052631579,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_013
14,0.7894736842105263,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_014
15,0.8947368421052632,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_015
16,0.95,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_016
17,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_017
18,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_018
19,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_019
20,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_020
21,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_021
22,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_022
23,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_023
24,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_024
25,1.0,/scratch/slurm_tmpdir/job_2033950/job_2033950/results/resnet50_bfloat16_251102_0114/split_025
