split_idx,best_val_acc,fold_dir
1,0.55,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_001
2,0.55,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_002
3,0.5263157894736842,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_003
4,0.5789473684210527,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_004
5,0.8947368421052632,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_005
6,0.9,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_006
7,0.75,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_007
8,0.7368421052631579,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_008
9,1.0,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_009
10,0.9473684210526315,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_010
11,0.9,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_011
12,1.0,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_012
13,0.8421052631578947,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_013
14,0.7894736842105263,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_014
15,0.9473684210526315,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_015
16,0.9,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_016
17,0.95,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_017
18,1.0,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_018
19,0.8947368421052632,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_019
20,0.7894736842105263,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_020
21,0.8,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_021
22,0.9,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_022
23,0.8947368421052632,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_023
24,1.0,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_024
25,1.0,/scratch/slurm_tmpdir/job_2051710/job_2051710/results/vit_b16_bfloat16_251105_0942/split_025
