split_idx,best_val_acc,fold_dir
1,0.5,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_001
2,0.5,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_002
3,0.5,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_003
4,0.6,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_004
5,0.6,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_005
6,0.6,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_006
7,0.8,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_007
8,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_008
9,0.8888888888888888,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_009
10,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_010
11,0.9,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_011
12,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_012
13,0.8,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_013
14,0.9,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_014
15,0.8,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_015
16,0.9,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_016
17,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_017
18,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_018
19,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_019
20,0.8888888888888888,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_020
21,0.8,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_021
22,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_022
23,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_023
24,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_024
25,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_025
26,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_026
27,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_027
28,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_028
29,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_029
30,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_030
31,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_031
32,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_032
33,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_033
34,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_034
35,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_035
36,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_036
37,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_037
38,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_038
39,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_039
40,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_040
41,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_041
42,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_042
43,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_043
44,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_044
45,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_045
46,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_046
47,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_047
48,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_048
49,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_049
50,1.0,/scratch/slurm_tmpdir/job_2071825/job_2071825/results/vit_b16_bfloat16_251107_1450/split_050
