epoch,max_epoch,train_loss,train_acc
1,700,0.7101,0.4896
2,700,0.715,0.5
3,700,0.7133,0.4479
4,700,0.7214,0.4688
5,700,0.6945,0.5312
6,700,0.7125,0.5208
7,700,0.6973,0.5729
8,700,0.686,0.5521
9,700,0.6971,0.5729
10,700,0.7035,0.4688
11,700,0.6884,0.5729
12,700,0.6936,0.5625
13,700,0.6905,0.5625
14,700,0.7094,0.5521
15,700,0.6913,0.5417
16,700,0.7015,0.5625
17,700,0.6945,0.5625
18,700,0.6935,0.5417
19,700,0.6932,0.5625
20,700,0.7093,0.5208
21,700,0.6871,0.5521
22,700,0.7017,0.5417
23,700,0.7006,0.5417
24,700,0.6927,0.5625
25,700,0.6919,0.5521
26,700,0.6983,0.5625
27,700,0.6904,0.5833
28,700,0.6899,0.5625
29,700,0.6943,0.5417
30,700,0.6939,0.5625
31,700,0.6901,0.5521
32,700,0.6963,0.5521
33,700,0.6939,0.5521
34,700,0.6917,0.5625
35,700,0.6858,0.5729
36,700,0.6976,0.5208
37,700,0.6908,0.5521
38,700,0.7086,0.4583
39,700,0.6925,0.5521
40,700,0.6909,0.5521
41,700,0.6882,0.5729
42,700,0.701,0.5208
43,700,0.6973,0.5521
44,700,0.6938,0.5417
45,700,0.6993,0.5521
46,700,0.6923,0.5625
47,700,0.6898,0.5312
48,700,0.6961,0.5521
49,700,0.6872,0.5625
50,700,0.6866,0.5625
51,700,0.6833,0.5521
52,700,0.6926,0.5417
53,700,0.6855,0.5625
54,700,0.6796,0.6354
55,700,0.7173,0.5312
56,700,0.7035,0.5
57,700,0.6904,0.5625
58,700,0.6834,0.5625
59,700,0.6951,0.5312
60,700,0.686,0.5729
61,700,0.6932,0.5312
62,700,0.7104,0.5417
63,700,0.6934,0.5625
64,700,0.6946,0.5417
65,700,0.6884,0.5521
66,700,0.7051,0.5521
67,700,0.6913,0.5625
68,700,0.6856,0.5625
69,700,0.6955,0.5521
70,700,0.6885,0.5625
71,700,0.6901,0.5625
72,700,0.6905,0.5521
73,700,0.6892,0.5521
74,700,0.6899,0.5521
75,700,0.6947,0.5521
76,700,0.6893,0.5521
77,700,0.6998,0.5625
78,700,0.691,0.5625
79,700,0.6919,0.5729
80,700,0.6964,0.5312
81,700,0.6899,0.5625
82,700,0.6866,0.5625
83,700,0.6906,0.5625
84,700,0.6956,0.5521
85,700,0.6909,0.5521
86,700,0.695,0.5521
87,700,0.6861,0.5625
88,700,0.6886,0.5521
89,700,0.6891,0.5521
90,700,0.6923,0.5521
91,700,0.6891,0.5521
92,700,0.6938,0.5625
93,700,0.6965,0.5521
94,700,0.6842,0.5625
95,700,0.692,0.5417
96,700,0.6803,0.5521
97,700,0.694,0.5521
98,700,0.6877,0.5625
99,700,0.687,0.5625
100,700,0.6881,0.5625
101,700,0.6906,0.5521
102,700,0.6957,0.5625
103,700,0.6969,0.5521
104,700,0.692,0.5521
105,700,0.6872,0.5521
106,700,0.6904,0.5625
107,700,0.691,0.5625
108,700,0.6885,0.5625
109,700,0.6919,0.5521
110,700,0.6932,0.5521
111,700,0.6899,0.5625
112,700,0.6882,0.5625
113,700,0.6944,0.5521
114,700,0.6884,0.5521
115,700,0.686,0.5625
116,700,0.696,0.5625
117,700,0.6906,0.5521
118,700,0.6985,0.5417
119,700,0.6936,0.5625
120,700,0.6904,0.5625
121,700,0.6876,0.5521
122,700,0.6869,0.5521
123,700,0.689,0.5521
124,700,0.6888,0.5521
125,700,0.6927,0.5521
126,700,0.6857,0.5625
127,700,0.6885,0.5729
128,700,0.6933,0.5312
129,700,0.6899,0.5625
130,700,0.6897,0.5521
131,700,0.6934,0.5521
132,700,0.6895,0.5521
133,700,0.6903,0.5521
134,700,0.69,0.5521
135,700,0.6955,0.5625
136,700,0.6869,0.5625
137,700,0.6866,0.5625
138,700,0.6913,0.5625
139,700,0.6877,0.5625
140,700,0.6915,0.5521
141,700,0.6868,0.5625
142,700,0.6918,0.5521
143,700,0.6804,0.5625
144,700,0.6895,0.4688
145,700,0.6914,0.5625
146,700,0.6898,0.5625
147,700,0.6792,0.5521
148,700,0.6767,0.5729
149,700,0.6978,0.5625
150,700,0.6973,0.5417
151,700,0.6895,0.5417
152,700,0.6889,0.5521
153,700,0.6834,0.5625
154,700,0.6932,0.5417
155,700,0.6902,0.5625
156,700,0.6899,0.5521
157,700,0.69,0.5521
158,700,0.6905,0.5521
159,700,0.686,0.5521
160,700,0.6802,0.5625
161,700,0.6945,0.5521
162,700,0.6946,0.5521
163,700,0.6901,0.5521
164,700,0.6887,0.5521
165,700,0.6884,0.5625
166,700,0.6891,0.5521
167,700,0.6866,0.5625
168,700,0.6827,0.5833
169,700,0.6812,0.5833
170,700,0.6913,0.5521
171,700,0.6872,0.5625
172,700,0.6823,0.5833
173,700,0.6951,0.5417
174,700,0.6888,0.5521
175,700,0.67,0.5729
176,700,0.6874,0.5625
177,700,0.6922,0.5521
178,700,0.68,0.5833
179,700,0.6983,0.5
180,700,0.6918,0.5312
181,700,0.6985,0.5312
182,700,0.687,0.5625
183,700,0.6852,0.5625
184,700,0.6928,0.5521
185,700,0.6882,0.5625
186,700,0.6887,0.5625
187,700,0.6943,0.5417
188,700,0.6839,0.5625
189,700,0.6851,0.5729
190,700,0.6866,0.5729
191,700,0.687,0.5521
192,700,0.689,0.5521
193,700,0.6869,0.5625
194,700,0.6895,0.5625
195,700,0.6895,0.5521
196,700,0.6904,0.5521
197,700,0.6883,0.5625
198,700,0.6907,0.5625
199,700,0.6855,0.5625
200,700,0.6904,0.5521
201,700,0.6879,0.5521
202,700,0.6914,0.5625
203,700,0.6898,0.5521
204,700,0.69,0.5521
205,700,0.6875,0.5625
206,700,0.6956,0.5417
207,700,0.6895,0.5521
208,700,0.6881,0.5521
209,700,0.6903,0.5521
210,700,0.6933,0.5417
211,700,0.6903,0.5521
212,700,0.6899,0.5521
213,700,0.6849,0.5625
214,700,0.6882,0.5521
215,700,0.688,0.5625
216,700,0.6919,0.5521
217,700,0.6861,0.5625
218,700,0.6856,0.5625
219,700,0.6894,0.5625
220,700,0.6892,0.5625
221,700,0.6898,0.5521
222,700,0.6903,0.5521
223,700,0.6888,0.5521
224,700,0.6855,0.5729
225,700,0.701,0.5417
226,700,0.6914,0.5521
227,700,0.6906,0.5521
228,700,0.6874,0.5521
229,700,0.6897,0.5521
230,700,0.6899,0.5625
231,700,0.6878,0.5625
232,700,0.6884,0.5521
233,700,0.6886,0.5625
234,700,0.6901,0.5521
235,700,0.691,0.5521
236,700,0.6898,0.5521
237,700,0.6874,0.5521
238,700,0.6863,0.5521
239,700,0.69,0.5521
240,700,0.689,0.5521
241,700,0.6869,0.5625
242,700,0.6923,0.5521
243,700,0.6888,0.5521
244,700,0.6896,0.5521
245,700,0.688,0.5521
246,700,0.6888,0.5521
247,700,0.6918,0.5521
248,700,0.6888,0.5625
249,700,0.6846,0.5625
250,700,0.6906,0.5521
251,700,0.6911,0.5521
252,700,0.6858,0.5625
253,700,0.689,0.5625
254,700,0.6887,0.5521
255,700,0.6909,0.5521
256,700,0.6859,0.5625
257,700,0.6877,0.5625
258,700,0.691,0.5521
259,700,0.6891,0.5521
260,700,0.6899,0.5521
261,700,0.6903,0.5521
262,700,0.6855,0.5625
263,700,0.6891,0.5521
264,700,0.6856,0.5625
265,700,0.6876,0.5521
266,700,0.6866,0.5625
267,700,0.6876,0.5625
268,700,0.6922,0.5521
269,700,0.6884,0.5625
270,700,0.6882,0.5625
271,700,0.6877,0.5521
272,700,0.6871,0.5625
273,700,0.6865,0.5625
274,700,0.6886,0.5521
275,700,0.6871,0.5521
276,700,0.6866,0.5625
277,700,0.6897,0.5521
278,700,0.6871,0.5625
279,700,0.6887,0.5521
280,700,0.6874,0.5625
281,700,0.6855,0.5521
282,700,0.6895,0.5625
283,700,0.6912,0.5417
284,700,0.6879,0.5625
285,700,0.6854,0.5625
286,700,0.6908,0.5521
287,700,0.6892,0.5521
288,700,0.6857,0.5625
289,700,0.6886,0.5625
290,700,0.6892,0.5521
291,700,0.6868,0.5625
292,700,0.6866,0.5521
293,700,0.6866,0.5625
294,700,0.6856,0.5625
295,700,0.6853,0.5625
296,700,0.6849,0.5625
297,700,0.6905,0.5417
298,700,0.6877,0.5625
299,700,0.6892,0.5521
300,700,0.6885,0.5521
301,700,0.6928,0.5521
302,700,0.6896,0.5521
303,700,0.6895,0.5521
304,700,0.6893,0.5521
305,700,0.688,0.5521
306,700,0.6885,0.5521
307,700,0.6894,0.5625
308,700,0.691,0.5521
309,700,0.6904,0.5521
310,700,0.6881,0.5521
311,700,0.6852,0.5625
312,700,0.6919,0.5521
313,700,0.6868,0.5625
314,700,0.6852,0.5625
315,700,0.6905,0.5521
316,700,0.6873,0.5521
317,700,0.6903,0.5521
318,700,0.6882,0.5521
319,700,0.6905,0.5208
320,700,0.7181,0.5312
321,700,0.7026,0.5208
322,700,0.7038,0.5521
323,700,0.6908,0.5625
324,700,0.6834,0.5521
325,700,0.7189,0.4896
326,700,0.6867,0.5625
327,700,0.6927,0.5521
328,700,0.6847,0.5625
329,700,0.6879,0.5625
330,700,0.6938,0.5625
331,700,0.72,0.5729
