epoch,max_epoch,train_loss,train_acc
1,700,0.7787,0.5521
2,700,0.7429,0.5
3,700,0.761,0.5417
4,700,0.774,0.4479
5,700,0.7766,0.5
6,700,0.7461,0.5625
7,700,0.7232,0.5417
8,700,0.7516,0.5625
9,700,0.7131,0.5729
10,700,0.8198,0.4792
11,700,0.8094,0.4688
12,700,0.7577,0.5312
13,700,0.7765,0.4688
14,700,0.7493,0.4896
15,700,0.6933,0.5312
16,700,0.7703,0.4896
17,700,0.7713,0.4479
18,700,0.7292,0.4896
19,700,0.7211,0.5625
20,700,0.7619,0.5417
21,700,0.7898,0.4896
22,700,0.7718,0.4479
23,700,0.8642,0.4583
24,700,0.7266,0.5104
25,700,0.7747,0.4479
26,700,0.7096,0.5417
27,700,0.8597,0.4167
28,700,0.6856,0.5104
29,700,0.7537,0.4896
30,700,0.7035,0.5729
31,700,0.7332,0.5208
32,700,0.7466,0.5312
33,700,0.7027,0.5521
34,700,0.7283,0.5521
35,700,0.7393,0.4062
36,700,0.7216,0.4792
37,700,0.7634,0.5104
38,700,0.7258,0.6042
39,700,0.7219,0.5521
40,700,0.7262,0.5104
41,700,0.7441,0.5104
42,700,0.7296,0.5938
43,700,0.7603,0.4792
44,700,0.7008,0.5729
45,700,0.7352,0.4062
46,700,0.7226,0.5
47,700,0.7035,0.5208
48,700,0.7271,0.5104
49,700,0.7329,0.4896
50,700,0.7246,0.4792
51,700,0.7154,0.5729
52,700,0.6974,0.5625
53,700,0.729,0.5938
54,700,0.7309,0.4583
55,700,0.7022,0.5521
56,700,0.7917,0.4583
57,700,0.7129,0.5729
58,700,0.6953,0.5208
59,700,0.7138,0.5
60,700,0.696,0.5208
61,700,0.736,0.5208
62,700,0.7477,0.4479
63,700,0.7114,0.5417
64,700,0.7116,0.5
65,700,0.736,0.4896
66,700,0.706,0.5417
67,700,0.6965,0.5417
68,700,0.7084,0.5417
69,700,0.7315,0.4583
70,700,0.714,0.5
71,700,0.8059,0.4479
72,700,0.7133,0.5312
73,700,0.6893,0.5521
74,700,0.7555,0.5
75,700,0.7194,0.4896
76,700,0.7276,0.5208
77,700,0.6868,0.625
78,700,0.719,0.5521
79,700,0.6988,0.5521
80,700,0.7189,0.4688
81,700,0.6842,0.625
82,700,0.6752,0.5729
83,700,0.6992,0.5417
84,700,0.7047,0.5104
85,700,0.6951,0.5625
86,700,0.6908,0.6042
87,700,0.712,0.5208
88,700,0.6873,0.5625
89,700,0.7605,0.4688
90,700,0.6532,0.625
91,700,0.7205,0.5833
92,700,0.7304,0.5208
93,700,0.714,0.5417
94,700,0.7242,0.5
95,700,0.7006,0.5104
96,700,0.7007,0.5729
97,700,0.7058,0.4375
98,700,0.6966,0.5729
99,700,0.73,0.4896
100,700,0.6979,0.4688
101,700,0.6783,0.5938
102,700,0.709,0.5208
103,700,0.6961,0.5833
104,700,0.712,0.5417
105,700,0.6982,0.5417
106,700,0.6892,0.5
107,700,0.6844,0.5729
108,700,0.7007,0.4688
109,700,0.6948,0.4896
110,700,0.7132,0.4792
111,700,0.692,0.625
112,700,0.7498,0.4271
113,700,0.6441,0.5417
114,700,0.714,0.6042
115,700,0.721,0.5729
116,700,0.7027,0.4583
117,700,0.6985,0.5417
118,700,0.7278,0.5208
119,700,0.6957,0.5
120,700,0.6599,0.6042
121,700,0.6915,0.5417
122,700,0.6554,0.5625
123,700,0.7243,0.4583
124,700,0.7016,0.5521
125,700,0.7315,0.4375
126,700,0.7449,0.4792
127,700,0.7286,0.4896
128,700,0.6851,0.5625
129,700,0.7122,0.4271
130,700,0.6872,0.5625
131,700,0.7081,0.4688
132,700,0.6557,0.5729
133,700,0.7082,0.5208
134,700,0.693,0.5625
135,700,0.6652,0.5729
136,700,0.6636,0.6146
137,700,0.6902,0.5521
138,700,0.6629,0.6562
139,700,0.7083,0.5208
140,700,0.6803,0.5729
141,700,0.718,0.5104
142,700,0.6937,0.4896
143,700,0.6996,0.5521
144,700,0.6872,0.4688
145,700,0.7201,0.4896
146,700,0.694,0.5312
147,700,0.6924,0.5625
148,700,0.6913,0.5208
149,700,0.6858,0.6042
150,700,0.7314,0.4375
151,700,0.7117,0.5521
152,700,0.6765,0.5729
153,700,0.6793,0.5729
154,700,0.6755,0.5833
155,700,0.6667,0.6562
156,700,0.7014,0.5417
157,700,0.7035,0.4896
158,700,0.6751,0.6042
159,700,0.7095,0.4792
160,700,0.6865,0.5625
161,700,0.6929,0.5521
162,700,0.6875,0.5833
163,700,0.6963,0.5521
164,700,0.6622,0.5729
165,700,0.7161,0.5
166,700,0.7067,0.5833
167,700,0.6867,0.4896
168,700,0.674,0.6354
169,700,0.6965,0.5104
170,700,0.6746,0.5625
171,700,0.6777,0.5625
172,700,0.696,0.4896
173,700,0.6853,0.5417
174,700,0.6908,0.5417
175,700,0.697,0.5208
176,700,0.708,0.5
177,700,0.6913,0.5625
178,700,0.6947,0.5625
179,700,0.6964,0.5521
180,700,0.6734,0.625
181,700,0.6978,0.5521
182,700,0.6964,0.5521
183,700,0.6978,0.5625
184,700,0.6896,0.5625
185,700,0.6943,0.4583
186,700,0.6888,0.5625
187,700,0.6928,0.5417
188,700,0.7045,0.4896
189,700,0.6899,0.5312
190,700,0.689,0.5417
191,700,0.6929,0.5208
192,700,0.6979,0.5833
193,700,0.6936,0.4896
194,700,0.6904,0.5521
195,700,0.6902,0.5208
196,700,0.702,0.5312
197,700,0.7005,0.5208
198,700,0.6832,0.5625
199,700,0.6691,0.6146
200,700,0.702,0.5104
201,700,0.6986,0.5521
202,700,0.6956,0.5521
203,700,0.7008,0.5625
204,700,0.6678,0.6042
205,700,0.7005,0.5729
206,700,0.6985,0.4792
207,700,0.6937,0.5417
208,700,0.7098,0.5
209,700,0.6914,0.5938
210,700,0.6964,0.5521
211,700,0.6996,0.5625
212,700,0.7098,0.5417
213,700,0.6949,0.5417
214,700,0.683,0.5521
215,700,0.7031,0.5104
216,700,0.6954,0.5521
217,700,0.711,0.5625
218,700,0.6963,0.5208
219,700,0.6941,0.5521
220,700,0.7053,0.4896
221,700,0.7055,0.5521
222,700,0.6973,0.5625
223,700,0.6978,0.5521
224,700,0.7098,0.5104
225,700,0.6912,0.5312
226,700,0.708,0.4896
227,700,0.6934,0.5
228,700,0.7002,0.5625
229,700,0.7006,0.5417
230,700,0.6942,0.5312
231,700,0.6942,0.5521
232,700,0.6938,0.5521
233,700,0.6965,0.5417
234,700,0.6944,0.5312
235,700,0.6981,0.5521
236,700,0.6899,0.5521
237,700,0.7088,0.5521
238,700,0.6991,0.5208
239,700,0.7117,0.4688
240,700,0.6937,0.5521
241,700,0.6877,0.5521
242,700,0.6908,0.5625
243,700,0.6881,0.5729
244,700,0.7007,0.5625
245,700,0.6899,0.5
246,700,0.6969,0.5312
247,700,0.7061,0.5208
248,700,0.703,0.5417
249,700,0.7037,0.4896
250,700,0.6931,0.5625
251,700,0.6929,0.5104
252,700,0.7048,0.5521
253,700,0.7024,0.5417
254,700,0.6972,0.5521
255,700,0.7042,0.5521
256,700,0.6991,0.5
257,700,0.6951,0.4896
258,700,0.7021,0.5521
259,700,0.6947,0.5208
260,700,0.6997,0.5625
261,700,0.7052,0.5417
262,700,0.702,0.5417
263,700,0.6971,0.5521
264,700,0.6995,0.5417
265,700,0.6898,0.5
266,700,0.7004,0.5417
267,700,0.6938,0.5625
268,700,0.695,0.5104
269,700,0.6932,0.5625
270,700,0.7024,0.5521
271,700,0.6983,0.5208
272,700,0.6922,0.5521
273,700,0.7005,0.5625
274,700,0.6939,0.5
275,700,0.6907,0.5625
276,700,0.6972,0.5417
277,700,0.6978,0.5417
278,700,0.6996,0.5417
279,700,0.7012,0.5521
280,700,0.6924,0.5
281,700,0.6938,0.5729
282,700,0.6988,0.5
283,700,0.7082,0.5312
284,700,0.7107,0.5
285,700,0.7184,0.5208
286,700,0.7232,0.5417
287,700,0.7213,0.4688
288,700,0.7145,0.5104
289,700,0.706,0.5312
290,700,0.7085,0.5208
291,700,0.7065,0.6042
292,700,0.7138,0.5625
293,700,0.6863,0.6042
294,700,0.7372,0.5
295,700,0.6953,0.5417
296,700,0.7083,0.4896
297,700,0.691,0.5833
298,700,0.735,0.5104
299,700,0.6869,0.5833
300,700,0.7123,0.5
301,700,0.6962,0.5312
302,700,0.7092,0.5625
303,700,0.7311,0.4271
304,700,0.6875,0.4479
305,700,0.7084,0.5312
306,700,0.6928,0.5729
307,700,0.6865,0.6042
308,700,0.6957,0.5417
309,700,0.6945,0.5625
310,700,0.6963,0.5
311,700,0.6942,0.4896
312,700,0.7107,0.5729
313,700,0.6988,0.5208
314,700,0.702,0.5312
315,700,0.6929,0.5104
316,700,0.7033,0.5
317,700,0.71,0.5104
318,700,0.7001,0.5833
319,700,0.7067,0.5208
320,700,0.7112,0.4583
321,700,0.6938,0.5312
322,700,0.6903,0.5417
323,700,0.7318,0.5521
324,700,0.7043,0.5104
325,700,0.6935,0.5521
326,700,0.7116,0.5938
327,700,0.6939,0.5104
328,700,0.7072,0.5625
329,700,0.7111,0.5521
330,700,0.6934,0.5208
331,700,0.7069,0.5312
332,700,0.7117,0.5104
333,700,0.7172,0.4271
334,700,0.6874,0.5521
335,700,0.7071,0.5
336,700,0.6657,0.5833
337,700,0.6977,0.5312
338,700,0.6817,0.5521
339,700,0.7011,0.5729
340,700,0.6886,0.5208
341,700,0.6899,0.5312
342,700,0.6713,0.5625
343,700,0.7091,0.4896
344,700,0.6745,0.5938
345,700,0.7141,0.5
346,700,0.6937,0.5625
347,700,0.6998,0.5312
348,700,0.7283,0.4062
349,700,0.7021,0.5104
350,700,0.7014,0.5625
351,700,0.6889,0.5521
352,700,0.6903,0.5208
353,700,0.708,0.5312
354,700,0.6988,0.5521
355,700,0.6724,0.5521
356,700,0.696,0.5417
357,700,0.7117,0.5104
358,700,0.7043,0.5104
359,700,0.6898,0.5312
360,700,0.6858,0.5625
361,700,0.6802,0.5833
362,700,0.6804,0.5625
363,700,0.7355,0.5208
364,700,0.6931,0.5729
365,700,0.7076,0.5104
366,700,0.6983,0.5417
367,700,0.6864,0.5521
368,700,0.7042,0.5208
369,700,0.6773,0.5521
370,700,0.7104,0.5312
371,700,0.7059,0.5104
372,700,0.6914,0.5312
373,700,0.6967,0.5625
374,700,0.7148,0.4792
375,700,0.6983,0.5208
376,700,0.6814,0.5938
377,700,0.6802,0.5938
378,700,0.6814,0.5521
379,700,0.6882,0.5625
380,700,0.7126,0.5312
381,700,0.7109,0.5208
382,700,0.7026,0.5625
383,700,0.6917,0.5938
384,700,0.7,0.4688
385,700,0.6911,0.5625
386,700,0.6753,0.5417
387,700,0.6604,0.6562
388,700,0.7011,0.5417
389,700,0.7031,0.5312
390,700,0.6676,0.5938
391,700,0.7001,0.5
392,700,0.7022,0.4688
393,700,0.6707,0.5417
394,700,0.6628,0.5938
395,700,0.6882,0.5521
396,700,0.6409,0.5833
397,700,0.6939,0.5104
398,700,0.6839,0.5833
399,700,0.7181,0.5208
400,700,0.6697,0.5729
401,700,0.7004,0.5521
402,700,0.7083,0.5104
403,700,0.703,0.5625
404,700,0.6738,0.5208
405,700,0.7045,0.5208
406,700,0.7015,0.5521
407,700,0.6586,0.6042
408,700,0.6604,0.6458
409,700,0.6889,0.5
410,700,0.6912,0.5417
411,700,0.7085,0.4479
412,700,0.649,0.625
413,700,0.6916,0.5729
414,700,0.6844,0.5625
415,700,0.6987,0.5729
416,700,0.6547,0.6146
417,700,0.6987,0.5729
418,700,0.7103,0.5312
419,700,0.6888,0.5312
420,700,0.7216,0.5521
421,700,0.7004,0.5
422,700,0.7074,0.5208
423,700,0.6868,0.5521
424,700,0.6688,0.625
425,700,0.6933,0.5729
426,700,0.6968,0.5417
427,700,0.6812,0.625
428,700,0.6705,0.5312
429,700,0.6931,0.5729
430,700,0.6839,0.5833
431,700,0.6997,0.5208
432,700,0.6783,0.5729
433,700,0.6985,0.5417
434,700,0.6921,0.5729
435,700,0.6902,0.5
436,700,0.6778,0.5938
437,700,0.6654,0.6146
438,700,0.7007,0.5208
439,700,0.7324,0.5625
440,700,0.6784,0.5417
441,700,0.7037,0.5312
442,700,0.6991,0.5729
443,700,0.6918,0.5208
444,700,0.6921,0.5521
445,700,0.6744,0.6042
446,700,0.6776,0.5729
447,700,0.702,0.5521
448,700,0.6511,0.6146
449,700,0.6615,0.6354
450,700,0.6412,0.6146
451,700,0.6831,0.5208
452,700,0.6797,0.5729
453,700,0.7033,0.5
454,700,0.667,0.5625
455,700,0.6719,0.6146
456,700,0.6728,0.5833
457,700,0.6322,0.6979
458,700,0.6409,0.5833
459,700,0.653,0.625
460,700,0.6671,0.5729
461,700,0.7076,0.5
462,700,0.6593,0.6562
463,700,0.6647,0.5625
464,700,0.6503,0.6458
465,700,0.7017,0.5521
466,700,0.6795,0.6042
467,700,0.6894,0.5521
468,700,0.6449,0.625
469,700,0.6905,0.5521
470,700,0.6715,0.6042
471,700,0.6867,0.5938
472,700,0.6597,0.625
473,700,0.6176,0.6354
474,700,0.6584,0.6042
475,700,0.6074,0.6562
476,700,0.6479,0.6354
477,700,0.6774,0.6562
478,700,0.6694,0.5417
479,700,0.6655,0.625
480,700,0.644,0.6042
481,700,0.7158,0.5312
482,700,0.6735,0.5938
483,700,0.6431,0.6458
484,700,0.6788,0.5208
485,700,0.6504,0.6354
486,700,0.6536,0.6458
487,700,0.6641,0.5938
488,700,0.6535,0.5729
489,700,0.6784,0.6771
490,700,0.634,0.625
491,700,0.6237,0.6667
492,700,0.6676,0.5417
493,700,0.6588,0.6354
494,700,0.6946,0.5417
495,700,0.6629,0.5938
496,700,0.6616,0.625
497,700,0.6332,0.5938
498,700,0.6142,0.6667
499,700,0.6499,0.625
500,700,0.6633,0.5938
501,700,0.6674,0.6042
502,700,0.6081,0.6458
503,700,0.6277,0.7188
504,700,0.6126,0.5833
505,700,0.6101,0.6354
506,700,0.606,0.6667
507,700,0.6559,0.625
508,700,0.5873,0.7292
509,700,0.6592,0.6146
510,700,0.6482,0.5625
511,700,0.6524,0.6667
512,700,0.6104,0.6354
513,700,0.5379,0.6979
514,700,0.607,0.6875
515,700,0.6629,0.5938
516,700,0.6444,0.6146
517,700,0.633,0.6562
518,700,0.6473,0.6042
519,700,0.6086,0.6979
520,700,0.5972,0.7188
521,700,0.5047,0.7604
522,700,0.5535,0.7812
523,700,0.6866,0.625
524,700,0.6258,0.75
525,700,0.6734,0.5521
526,700,0.6645,0.6146
527,700,0.6003,0.7188
528,700,0.5622,0.7292
529,700,0.6415,0.6979
530,700,0.6404,0.6354
531,700,0.6957,0.5938
532,700,0.6294,0.6875
533,700,0.5906,0.6771
534,700,0.5652,0.7188
535,700,0.534,0.7188
536,700,0.615,0.7188
537,700,0.6481,0.6771
538,700,0.6496,0.6354
539,700,0.5709,0.7188
540,700,0.6333,0.6146
541,700,0.7315,0.5729
542,700,0.6786,0.5521
543,700,0.621,0.625
544,700,0.5642,0.7396
545,700,0.648,0.625
546,700,0.6419,0.625
547,700,0.6292,0.5833
548,700,0.5499,0.7396
549,700,0.6474,0.5833
550,700,0.6192,0.6354
551,700,0.6016,0.7396
552,700,0.5604,0.75
553,700,0.678,0.625
554,700,0.6272,0.6146
555,700,0.6269,0.6458
556,700,0.5771,0.7604
557,700,0.5492,0.7708
558,700,0.6479,0.6042
559,700,0.6606,0.6146
560,700,0.6268,0.625
561,700,0.5593,0.7083
562,700,0.6084,0.625
563,700,0.5723,0.6875
564,700,0.6034,0.6667
565,700,0.5988,0.7292
566,700,0.6694,0.5729
567,700,0.6162,0.6146
568,700,0.5967,0.625
569,700,0.5712,0.6979
570,700,0.5945,0.6771
571,700,0.6432,0.6458
572,700,0.6388,0.6458
573,700,0.5312,0.7292
574,700,0.6036,0.7083
575,700,0.5213,0.7812
576,700,0.5606,0.6875
577,700,0.5313,0.7292
578,700,0.5304,0.7083
579,700,0.5296,0.7292
580,700,0.6278,0.6667
581,700,0.5469,0.6979
582,700,0.5934,0.6875
583,700,0.5521,0.7083
584,700,0.5651,0.6771
585,700,0.4918,0.7812
586,700,0.5487,0.7396
587,700,0.5033,0.7396
588,700,0.6115,0.6979
589,700,0.531,0.7708
590,700,0.6126,0.6667
591,700,0.5382,0.6979
592,700,0.5876,0.6771
593,700,0.5691,0.6771
594,700,0.5742,0.75
595,700,0.5129,0.75
596,700,0.5537,0.75
597,700,0.5583,0.7292
598,700,0.4939,0.7812
599,700,0.5834,0.6979
600,700,0.5896,0.6979
601,700,0.5901,0.6771
602,700,0.583,0.6771
603,700,0.5545,0.6875
604,700,0.499,0.7396
605,700,0.5832,0.7083
606,700,0.603,0.625
607,700,0.4558,0.7812
608,700,0.5243,0.7292
609,700,0.555,0.7188
610,700,0.5752,0.7083
611,700,0.5965,0.6354
612,700,0.487,0.7812
613,700,0.4833,0.7604
614,700,0.5531,0.7396
615,700,0.477,0.7812
616,700,0.5409,0.7188
617,700,0.4731,0.75
618,700,0.434,0.7917
619,700,0.5514,0.6979
620,700,0.5184,0.7188
621,700,0.487,0.7708
622,700,0.5267,0.7708
623,700,0.4572,0.7812
624,700,0.4473,0.8021
625,700,0.5737,0.6667
626,700,0.5491,0.6979
627,700,0.4419,0.8229
628,700,0.4971,0.7396
629,700,0.5556,0.6979
630,700,0.4889,0.7812
631,700,0.4367,0.7396
632,700,0.5172,0.7292
633,700,0.4761,0.7604
634,700,0.4712,0.7917
635,700,0.4392,0.7812
636,700,0.4463,0.7917
637,700,0.4327,0.7708
638,700,0.4387,0.7812
639,700,0.4711,0.7917
640,700,0.5261,0.7396
641,700,0.5337,0.7083
642,700,0.3561,0.8021
643,700,0.5128,0.7292
644,700,0.4145,0.7917
645,700,0.5159,0.7812
646,700,0.4474,0.7812
647,700,0.4711,0.7708
648,700,0.4706,0.7708
649,700,0.4682,0.7917
650,700,0.4627,0.7396
651,700,0.3685,0.8542
652,700,0.3936,0.8229
653,700,0.3655,0.875
654,700,0.5244,0.7396
655,700,0.4738,0.7917
656,700,0.3902,0.8021
657,700,0.4535,0.8229
658,700,0.3992,0.8438
659,700,0.4421,0.7604
660,700,0.4243,0.8125
661,700,0.4122,0.8438
662,700,0.3393,0.8229
663,700,0.3898,0.8438
664,700,0.4389,0.7917
665,700,0.4031,0.8542
666,700,0.3458,0.8333
667,700,0.4125,0.7917
668,700,0.4503,0.7812
669,700,0.4358,0.8125
670,700,0.3914,0.8229
671,700,0.3341,0.8438
672,700,0.4074,0.8333
673,700,0.3353,0.8542
674,700,0.3475,0.8646
675,700,0.3543,0.8229
676,700,0.3265,0.8854
677,700,0.4667,0.75
678,700,0.3958,0.8229
679,700,0.291,0.9062
680,700,0.4169,0.7604
681,700,0.405,0.8021
682,700,0.3259,0.8333
683,700,0.5169,0.7917
684,700,0.3937,0.8229
685,700,0.4664,0.7917
686,700,0.4356,0.7917
687,700,0.5026,0.75
688,700,0.3754,0.8229
689,700,0.3801,0.8854
690,700,0.45,0.8125
691,700,0.4215,0.8021
692,700,0.4306,0.7917
693,700,0.241,0.9062
694,700,0.3359,0.875
695,700,0.35,0.7917
696,700,0.3291,0.8958
697,700,0.3498,0.8333
698,700,0.3372,0.8542
699,700,0.4033,0.7604
700,700,0.3593,0.8438
