epoch,max_epoch,train_loss,train_acc
1,700,0.7388,0.5208
2,700,0.7457,0.5208
3,700,0.7312,0.5312
4,700,0.7211,0.5208
5,700,0.7193,0.4688
6,700,0.7188,0.5417
7,700,0.697,0.5521
8,700,0.7029,0.5208
9,700,0.7166,0.4688
10,700,0.7266,0.5
11,700,0.723,0.4688
12,700,0.6797,0.5312
13,700,0.7407,0.5
14,700,0.7021,0.5729
15,700,0.6983,0.5104
16,700,0.7085,0.5417
17,700,0.7175,0.5521
18,700,0.7008,0.5208
19,700,0.6921,0.5625
20,700,0.7301,0.5
21,700,0.7283,0.4792
22,700,0.7213,0.4792
23,700,0.722,0.4792
24,700,0.6972,0.5625
25,700,0.6919,0.5417
26,700,0.7134,0.5104
27,700,0.7399,0.5
28,700,0.6965,0.4896
29,700,0.7063,0.5417
30,700,0.6697,0.6458
31,700,0.7224,0.5
32,700,0.7086,0.5417
33,700,0.6919,0.5417
34,700,0.7188,0.4688
35,700,0.7105,0.4688
36,700,0.6961,0.5208
37,700,0.7011,0.5729
38,700,0.7013,0.5104
39,700,0.7172,0.5625
40,700,0.6941,0.5208
41,700,0.6951,0.5625
42,700,0.7063,0.5521
43,700,0.7107,0.4479
44,700,0.6915,0.5625
45,700,0.7011,0.4167
46,700,0.6939,0.5625
47,700,0.6903,0.5625
48,700,0.705,0.5417
49,700,0.6967,0.5625
50,700,0.6983,0.5208
51,700,0.6938,0.5521
52,700,0.693,0.5312
53,700,0.7003,0.5521
54,700,0.6986,0.5521
55,700,0.698,0.5104
56,700,0.7099,0.5312
57,700,0.6979,0.5625
58,700,0.6963,0.5104
59,700,0.6948,0.5
60,700,0.6958,0.5625
61,700,0.7035,0.4583
62,700,0.7053,0.5312
63,700,0.699,0.5417
64,700,0.6913,0.5625
65,700,0.6974,0.5521
66,700,0.6967,0.5521
67,700,0.6991,0.5729
68,700,0.6948,0.5521
69,700,0.695,0.5521
70,700,0.7029,0.5
71,700,0.7394,0.4062
72,700,0.7015,0.5417
73,700,0.6957,0.5521
74,700,0.7172,0.4375
75,700,0.6987,0.5312
76,700,0.6958,0.5
77,700,0.6897,0.5729
78,700,0.7027,0.5417
79,700,0.6927,0.5521
80,700,0.7008,0.4792
81,700,0.6937,0.5521
82,700,0.6805,0.5938
83,700,0.6944,0.5625
84,700,0.7027,0.5104
85,700,0.6915,0.5625
86,700,0.6961,0.5208
87,700,0.6957,0.4583
88,700,0.7041,0.5
89,700,0.7029,0.5417
90,700,0.6976,0.5729
91,700,0.7013,0.5833
92,700,0.7162,0.5417
93,700,0.7107,0.5521
94,700,0.715,0.5104
95,700,0.7039,0.5625
96,700,0.6917,0.5625
97,700,0.696,0.5312
98,700,0.6987,0.5521
99,700,0.7026,0.5
100,700,0.6881,0.5625
101,700,0.689,0.5521
102,700,0.7004,0.5625
103,700,0.6917,0.5521
104,700,0.7092,0.5521
105,700,0.6954,0.5521
106,700,0.6957,0.4479
107,700,0.6937,0.5521
108,700,0.692,0.5417
109,700,0.702,0.5625
110,700,0.6972,0.5104
111,700,0.7032,0.5625
112,700,0.6949,0.5521
113,700,0.6908,0.5417
114,700,0.7014,0.4583
115,700,0.6904,0.5417
116,700,0.6958,0.5521
117,700,0.6936,0.5417
118,700,0.6897,0.5625
119,700,0.6978,0.5521
120,700,0.6903,0.5521
121,700,0.6886,0.5521
122,700,0.6939,0.5521
123,700,0.6923,0.5625
124,700,0.6869,0.5521
125,700,0.6934,0.5521
126,700,0.6936,0.5521
127,700,0.6958,0.5625
128,700,0.6945,0.5625
129,700,0.697,0.4688
130,700,0.7002,0.5521
131,700,0.6936,0.5729
132,700,0.6826,0.5625
133,700,0.6927,0.5312
134,700,0.6908,0.5625
135,700,0.6927,0.5104
136,700,0.6939,0.5521
137,700,0.6951,0.4792
138,700,0.6907,0.5625
139,700,0.6936,0.5521
140,700,0.6949,0.5521
141,700,0.6957,0.5521
142,700,0.6979,0.5104
143,700,0.6929,0.5625
144,700,0.6937,0.5312
145,700,0.7103,0.5104
146,700,0.6937,0.5625
147,700,0.6962,0.5521
148,700,0.6973,0.5208
149,700,0.6916,0.5625
150,700,0.7106,0.4271
151,700,0.694,0.5625
152,700,0.6926,0.5521
153,700,0.6951,0.5625
154,700,0.6939,0.5521
155,700,0.6926,0.5521
156,700,0.6938,0.5312
157,700,0.7031,0.5312
158,700,0.6973,0.5417
159,700,0.6932,0.5521
160,700,0.6908,0.5521
161,700,0.6894,0.5521
162,700,0.691,0.5625
163,700,0.6896,0.5625
164,700,0.6849,0.5417
165,700,0.6986,0.5521
166,700,0.6968,0.5208
167,700,0.6945,0.5625
168,700,0.7031,0.5625
169,700,0.6879,0.5625
170,700,0.6965,0.5521
171,700,0.694,0.5521
172,700,0.6931,0.5521
173,700,0.6859,0.5625
174,700,0.6903,0.5625
175,700,0.6927,0.5625
176,700,0.6983,0.5
177,700,0.6928,0.5625
178,700,0.6885,0.5625
179,700,0.6914,0.5521
180,700,0.686,0.5625
181,700,0.6928,0.5521
182,700,0.7184,0.4896
183,700,0.7129,0.5208
184,700,0.6988,0.5729
185,700,0.6919,0.4896
186,700,0.6899,0.5625
187,700,0.691,0.5521
188,700,0.7037,0.5
189,700,0.6898,0.5417
190,700,0.6898,0.5521
191,700,0.6928,0.5417
192,700,0.6962,0.5625
193,700,0.6935,0.5417
194,700,0.6895,0.5521
195,700,0.691,0.5208
196,700,0.6971,0.5625
197,700,0.6935,0.5521
198,700,0.6863,0.5625
199,700,0.6925,0.5625
200,700,0.7062,0.4167
201,700,0.692,0.5625
202,700,0.6925,0.5625
203,700,0.6964,0.5625
204,700,0.6849,0.5625
205,700,0.7013,0.5521
206,700,0.6966,0.5417
207,700,0.6936,0.5417
208,700,0.7,0.5521
209,700,0.6974,0.5521
210,700,0.6953,0.5208
211,700,0.6945,0.5625
212,700,0.6982,0.5521
213,700,0.6921,0.5208
214,700,0.6886,0.5625
215,700,0.6968,0.5521
216,700,0.6946,0.5521
217,700,0.7016,0.5625
218,700,0.6924,0.5521
219,700,0.6927,0.5625
220,700,0.7009,0.4583
221,700,0.6998,0.5521
222,700,0.6911,0.5625
223,700,0.6975,0.5521
224,700,0.7034,0.5521
225,700,0.6903,0.5521
226,700,0.7017,0.5521
227,700,0.6924,0.5417
228,700,0.6947,0.5521
229,700,0.6989,0.5521
230,700,0.6922,0.5104
231,700,0.6935,0.5521
232,700,0.6905,0.5521
233,700,0.6916,0.5521
234,700,0.6908,0.5625
235,700,0.6965,0.5521
236,700,0.6909,0.5521
237,700,0.7062,0.5521
238,700,0.6934,0.5521
239,700,0.7051,0.4792
240,700,0.6914,0.5521
241,700,0.6873,0.5625
242,700,0.6902,0.5625
243,700,0.6855,0.5625
244,700,0.6949,0.5625
245,700,0.6868,0.5625
246,700,0.6936,0.4896
247,700,0.6982,0.5521
248,700,0.6977,0.5521
249,700,0.6993,0.5417
250,700,0.6907,0.5625
251,700,0.691,0.5521
252,700,0.6986,0.5521
253,700,0.6999,0.5417
254,700,0.6922,0.5625
255,700,0.6979,0.5521
256,700,0.7092,0.5104
257,700,0.7022,0.5104
258,700,0.7197,0.5104
259,700,0.701,0.4688
260,700,0.7054,0.5625
261,700,0.7136,0.5104
262,700,0.7134,0.5417
263,700,0.708,0.5312
264,700,0.7089,0.4792
265,700,0.6962,0.5104
266,700,0.7055,0.5
267,700,0.6943,0.5625
268,700,0.6951,0.4896
269,700,0.6869,0.5625
270,700,0.71,0.5104
271,700,0.6849,0.5521
272,700,0.695,0.5417
273,700,0.7001,0.5521
274,700,0.6854,0.5625
275,700,0.6981,0.5312
276,700,0.6922,0.5521
277,700,0.6938,0.5312
278,700,0.6991,0.5312
279,700,0.6989,0.5521
280,700,0.6958,0.5208
281,700,0.6925,0.5729
282,700,0.6904,0.5312
283,700,0.6922,0.5521
284,700,0.6971,0.5417
285,700,0.6897,0.5625
286,700,0.6936,0.5625
287,700,0.6935,0.5625
288,700,0.6922,0.5521
289,700,0.6933,0.5417
290,700,0.6905,0.5625
291,700,0.6964,0.5417
292,700,0.6993,0.5208
293,700,0.6867,0.5625
294,700,0.7002,0.5521
295,700,0.6879,0.5521
296,700,0.6911,0.5521
297,700,0.6919,0.5521
298,700,0.6909,0.5625
299,700,0.6903,0.5521
300,700,0.697,0.5521
301,700,0.6893,0.5625
302,700,0.6897,0.5625
303,700,0.6899,0.5625
304,700,0.6938,0.5625
305,700,0.696,0.5521
306,700,0.6909,0.5625
307,700,0.6904,0.5521
308,700,0.6873,0.5625
309,700,0.6923,0.5521
310,700,0.6888,0.5417
311,700,0.6928,0.5521
312,700,0.6933,0.5625
313,700,0.6858,0.5625
314,700,0.6927,0.5625
315,700,0.6935,0.5521
316,700,0.6922,0.5521
317,700,0.6959,0.5104
318,700,0.6907,0.5625
319,700,0.6921,0.5625
320,700,0.6908,0.5521
321,700,0.696,0.5521
322,700,0.6952,0.5521
323,700,0.6938,0.5208
324,700,0.6901,0.5625
325,700,0.6884,0.5625
326,700,0.6903,0.5521
327,700,0.692,0.5521
328,700,0.6922,0.5521
329,700,0.6938,0.5521
330,700,0.6882,0.5521
331,700,0.6962,0.5
332,700,0.7006,0.5521
333,700,0.6951,0.5521
334,700,0.6958,0.4271
335,700,0.6952,0.5521
336,700,0.686,0.5625
337,700,0.6913,0.5625
338,700,0.6934,0.5521
339,700,0.6903,0.5521
340,700,0.6877,0.5625
341,700,0.6972,0.5417
342,700,0.6914,0.5521
343,700,0.6921,0.5625
344,700,0.6877,0.5625
345,700,0.6957,0.5521
346,700,0.6893,0.5625
347,700,0.6892,0.5625
