epoch,max_epoch,train_loss,train_acc
1,700,0.9024,0.4688
2,700,0.7439,0.4062
3,700,0.753,0.5
4,700,0.7169,0.5
5,700,0.7618,0.4375
6,700,0.7022,0.5729
7,700,0.7064,0.4792
8,700,0.7266,0.5312
9,700,0.7045,0.5521
10,700,0.726,0.4375
11,700,0.6883,0.5625
12,700,0.7185,0.4583
13,700,0.7048,0.5729
14,700,0.7233,0.5
15,700,0.7075,0.5417
16,700,0.7369,0.5104
17,700,0.7271,0.4479
18,700,0.715,0.5
19,700,0.7261,0.5
20,700,0.7243,0.4792
21,700,0.6944,0.5729
22,700,0.7197,0.4167
23,700,0.7106,0.4688
24,700,0.6988,0.5521
25,700,0.6951,0.5312
26,700,0.7069,0.5417
27,700,0.7174,0.4583
28,700,0.7036,0.4896
29,700,0.6969,0.5417
30,700,0.6953,0.5521
31,700,0.7068,0.5312
32,700,0.6971,0.4792
33,700,0.6966,0.5521
34,700,0.6998,0.5625
35,700,0.6993,0.5104
36,700,0.7086,0.4896
37,700,0.6969,0.4479
38,700,0.6952,0.5312
39,700,0.7206,0.4583
40,700,0.6913,0.5104
41,700,0.6977,0.5521
42,700,0.7019,0.5
43,700,0.6984,0.5
44,700,0.6962,0.5625
45,700,0.7142,0.5104
46,700,0.6993,0.5625
47,700,0.6965,0.4896
48,700,0.7002,0.5729
49,700,0.7049,0.5104
50,700,0.6897,0.5833
51,700,0.7058,0.5521
52,700,0.704,0.4583
53,700,0.6978,0.5417
54,700,0.687,0.5625
55,700,0.699,0.5521
56,700,0.6978,0.5625
57,700,0.7049,0.5521
58,700,0.697,0.5208
59,700,0.7023,0.5
60,700,0.6927,0.5417
61,700,0.7004,0.5521
62,700,0.7045,0.4688
63,700,0.6869,0.5521
64,700,0.6957,0.5
65,700,0.6928,0.5521
66,700,0.69,0.5521
67,700,0.692,0.5521
68,700,0.693,0.5625
69,700,0.6967,0.5
70,700,0.7031,0.5521
71,700,0.6956,0.4792
72,700,0.6951,0.5417
73,700,0.6958,0.5521
74,700,0.698,0.5521
75,700,0.6962,0.5521
76,700,0.6952,0.5417
77,700,0.6948,0.5625
78,700,0.6935,0.5625
79,700,0.6932,0.5521
80,700,0.6959,0.5521
81,700,0.6978,0.5
82,700,0.6933,0.5625
83,700,0.7004,0.5208
84,700,0.7138,0.5521
85,700,0.6962,0.4688
86,700,0.696,0.5625
87,700,0.7009,0.5521
88,700,0.7091,0.4792
89,700,0.6952,0.5625
90,700,0.6961,0.5521
91,700,0.6932,0.5938
92,700,0.6873,0.5625
93,700,0.6958,0.5521
94,700,0.692,0.5521
95,700,0.6919,0.5625
96,700,0.6943,0.5521
97,700,0.6908,0.5521
98,700,0.7053,0.5417
99,700,0.6961,0.5625
100,700,0.6925,0.5625
101,700,0.6995,0.5521
102,700,0.6873,0.5521
103,700,0.701,0.4896
104,700,0.7013,0.5625
105,700,0.6941,0.4479
106,700,0.6982,0.5521
107,700,0.6976,0.4688
108,700,0.698,0.5521
109,700,0.6937,0.5625
110,700,0.6914,0.5625
111,700,0.6967,0.4479
112,700,0.6949,0.5521
113,700,0.6972,0.5625
114,700,0.6923,0.5208
115,700,0.6952,0.5625
116,700,0.695,0.5625
117,700,0.697,0.5521
118,700,0.6884,0.5625
119,700,0.6866,0.5625
120,700,0.6937,0.5521
121,700,0.6896,0.5625
122,700,0.6869,0.5625
123,700,0.692,0.5625
124,700,0.6933,0.5625
125,700,0.6878,0.5625
126,700,0.695,0.5625
127,700,0.69,0.5625
128,700,0.6896,0.5625
129,700,0.6933,0.5625
130,700,0.6892,0.5625
131,700,0.6918,0.5625
132,700,0.6969,0.5417
133,700,0.6923,0.5521
134,700,0.6879,0.5625
135,700,0.6907,0.5625
136,700,0.6952,0.5521
137,700,0.6954,0.4583
138,700,0.6921,0.5625
139,700,0.6895,0.5521
140,700,0.6889,0.5521
141,700,0.6892,0.5521
142,700,0.6896,0.5521
143,700,0.6934,0.5521
144,700,0.6905,0.5625
145,700,0.6961,0.5521
146,700,0.6877,0.5625
147,700,0.6921,0.5521
148,700,0.6876,0.5625
149,700,0.6895,0.5625
150,700,0.6868,0.5625
151,700,0.6903,0.5521
152,700,0.6887,0.5625
153,700,0.6941,0.5521
154,700,0.6909,0.5521
155,700,0.6846,0.5625
156,700,0.6901,0.5521
157,700,0.6939,0.5625
158,700,0.6888,0.5625
159,700,0.689,0.5625
160,700,0.6871,0.5625
161,700,0.6882,0.5625
162,700,0.6936,0.5521
163,700,0.6917,0.5625
164,700,0.6876,0.5625
165,700,0.6907,0.5521
166,700,0.6966,0.5521
167,700,0.6922,0.5625
168,700,0.6894,0.5625
169,700,0.6886,0.5521
170,700,0.6934,0.5521
171,700,0.6968,0.5417
172,700,0.6858,0.5833
173,700,0.7726,0.4479
174,700,0.707,0.5417
175,700,0.7314,0.4688
176,700,0.7262,0.4688
177,700,0.7036,0.4896
178,700,0.7085,0.5312
179,700,0.6918,0.5625
180,700,0.6975,0.5521
181,700,0.698,0.5
182,700,0.6975,0.5
183,700,0.6997,0.5208
184,700,0.6882,0.5417
185,700,0.6892,0.5625
186,700,0.6904,0.5625
187,700,0.6949,0.5625
188,700,0.6921,0.5625
189,700,0.693,0.5625
190,700,0.6972,0.5521
191,700,0.6908,0.5521
192,700,0.699,0.5521
193,700,0.6912,0.5417
194,700,0.6906,0.5521
195,700,0.6901,0.5521
196,700,0.6898,0.5625
197,700,0.6901,0.5625
198,700,0.7011,0.5521
199,700,0.6913,0.5521
200,700,0.6886,0.5625
201,700,0.6904,0.5625
202,700,0.6925,0.5521
203,700,0.6923,0.5521
204,700,0.69,0.5521
205,700,0.6908,0.5521
206,700,0.6899,0.5625
207,700,0.6932,0.5521
208,700,0.6949,0.5521
209,700,0.6917,0.5208
210,700,0.6946,0.5521
211,700,0.6891,0.5521
212,700,0.6912,0.5625
213,700,0.6868,0.5625
214,700,0.6871,0.5625
215,700,0.6907,0.5521
216,700,0.6877,0.5625
217,700,0.6897,0.5521
218,700,0.69,0.5625
219,700,0.6896,0.5625
220,700,0.6888,0.5521
221,700,0.6947,0.5521
222,700,0.6888,0.5625
223,700,0.6872,0.5625
224,700,0.6904,0.5521
225,700,0.6871,0.5625
226,700,0.6481,0.6354
227,700,0.6351,0.6875
228,700,0.6897,0.6042
229,700,0.6206,0.7083
230,700,0.6163,0.7083
231,700,0.5443,0.7604
232,700,0.4851,0.8021
233,700,0.5078,0.8021
234,700,0.5654,0.7604
235,700,0.4718,0.8021
236,700,0.5496,0.7604
237,700,0.5328,0.7604
238,700,0.5063,0.7917
239,700,0.4341,0.8229
240,700,0.5204,0.7604
241,700,0.5047,0.7812
242,700,0.4037,0.8542
243,700,0.5188,0.7812
244,700,0.3753,0.8646
245,700,0.4801,0.7708
246,700,0.4462,0.8438
247,700,0.3712,0.875
248,700,0.4592,0.8125
249,700,0.386,0.8542
250,700,0.39,0.8542
251,700,0.4425,0.8021
252,700,0.4745,0.8229
253,700,0.428,0.8333
254,700,0.459,0.8229
255,700,0.4401,0.8438
256,700,0.4647,0.8125
257,700,0.4592,0.8333
258,700,0.373,0.8646
259,700,0.3678,0.8542
260,700,0.4156,0.8438
261,700,0.3611,0.875
262,700,0.3973,0.8646
263,700,0.4357,0.8333
264,700,0.368,0.875
265,700,0.3157,0.8958
266,700,0.3628,0.8646
267,700,0.4233,0.8125
268,700,0.324,0.8646
269,700,0.2982,0.8854
270,700,0.3736,0.8438
271,700,0.3607,0.875
272,700,0.5324,0.7917
273,700,0.4546,0.8021
274,700,0.3762,0.8438
275,700,0.3779,0.8125
276,700,0.4206,0.8021
277,700,0.3298,0.8438
278,700,0.33,0.8542
